iteration,train_gmrl,test_gmrl
0,0.2801198457435962,0.2701790869907161
1,0.32546757595742765,0.3698892920035106
2,0.25916838945921195,0.245208972918756
3,0.33247806630793764,0.3918736216632847
4,0.2907572307530812,0.2233696678824235
5,0.22001640802055542,0.20434629087607314
6,0.2356643389332122,0.2074810652994731
7,0.363410626323466,0.2012272219446237
8,0.40977931694206304,0.2035787491972775
9,0.17834991035003572,0.23270919535747875
