epoch,model_level,loss,accuracy,train_time,test_time
14,12,0.378,1.0,0.09,0.04
1,13,0.706,0.875,0.11,0.02
2,13,0.6773,0.375,0.11,0.04
3,13,0.7022,0.375,0.08,0.03
4,13,0.6783,0.625,0.1,0.02
5,13,0.638,1.0,0.09,0.03
1,14,0.6865,0.5,0.07,0.02
2,14,0.7212,0.6667,0.08,0.02
3,14,0.6725,1.0,0.08,0.04
1,15,0.6635,0.75,0.08,0.02
2,15,0.6497,0.75,0.08,0.02
3,15,0.5862,0.75,0.11,0.02
4,15,0.5651,0.75,0.08,0.03
5,15,0.55,0.6667,0.09,0.02
6,15,0.5453,0.6667,0.11,0.02
7,15,0.5413,0.75,0.09,0.02
8,15,0.526,0.6667,0.09,0.02
9,15,0.5385,0.75,0.09,0.02
10,15,0.5154,0.75,0.11,0.03
11,15,0.4742,0.75,0.08,0.02
12,15,0.4667,0.75,0.07,0.02
13,15,0.4389,0.9167,0.1,0.02
14,15,0.4263,0.9167,0.08,0.02
15,15,0.4007,0.8333,0.08,0.02
1,16,0.669,0.7,0.08,0.02
2,16,0.5848,0.9,0.08,0.02
3,16,0.5689,0.9,0.06,0.02
4,16,0.5264,1.0,0.06,0.02
1,17,0.692,0.6667,0.11,0.03
2,17,0.6628,0.8333,0.1,0.03
3,17,0.6358,0.75,0.08,0.02
4,17,0.5968,0.8333,0.11,0.02
5,17,0.5847,0.75,0.09,0.02
6,17,0.5626,0.6667,0.1,0.02
7,17,0.5502,0.8333,0.07,0.03
8,17,0.5405,0.75,0.08,0.02
9,17,0.5459,0.75,0.07,0.02
10,17,0.5484,0.8333,0.09,0.02
11,17,0.5407,0.8333,0.1,0.02
12,17,0.5381,0.75,0.1,0.02
13,17,0.5363,0.8333,0.07,0.02
14,17,0.5361,0.6667,0.08,0.02
15,17,0.5122,0.75,0.07,0.03
1,2,0.4093,0.9186,0.89,0.12
2,2,0.3963,0.911,0.59,0.13
3,2,0.4146,0.9261,0.58,0.14
4,2,0.3965,0.929,0.56,0.14
5,2,0.3842,0.9299,0.63,0.15
6,2,0.3806,0.9375,0.6,0.18
7,2,0.3795,0.9432,0.62,0.15
8,2,0.3929,0.947,0.52,0.14
9,2,0.3802,0.9479,0.59,0.14
10,2,0.3747,0.9479,0.54,0.14
11,2,0.3643,0.9489,0.57,0.12
12,2,0.372,0.9564,0.58,0.14
13,2,0.3711,0.9536,0.57,0.12
14,2,0.3668,0.9489,0.57,0.13
15,2,0.3717,0.9564,0.56,0.12
1,3,0.484,0.8588,0.36,0.09
2,3,0.452,0.8891,0.34,0.1
3,3,0.4261,0.921,0.35,0.1
4,3,0.4227,0.9176,0.35,0.09
5,3,0.4002,0.9345,0.35,0.09
6,3,0.4008,0.9429,0.36,0.1
7,3,0.4047,0.9294,0.38,0.12
8,3,0.4082,0.9361,0.36,0.1
9,3,0.3937,0.9361,0.35,0.09
10,3,0.3853,0.9462,0.4,0.1
11,3,0.3892,0.9479,0.36,0.1
12,3,0.3876,0.9546,0.34,0.09
13,3,0.3772,0.9479,0.34,0.12
14,3,0.3801,0.9597,0.4,0.1
15,3,0.3789,0.9597,0.35,0.09
1,4,0.433,0.9228,1.07,0.32
2,4,0.4022,0.9491,1.05,0.32
3,4,0.3877,0.9473,1.08,0.33
4,4,0.3783,0.9611,1.06,0.33
1,5,0.4639,0.8899,3.61,1.08
2,5,0.4244,0.9178,3.5,1.1
3,5,0.4059,0.9346,3.46,1.1
4,5,0.3938,0.9489,3.59,1.1
5,5,0.3908,0.9531,3.51,1.1
6,5,0.3792,0.9645,3.5,1.1
1,6,0.4799,0.8779,6.81,2.05
2,6,0.4388,0.8907,6.75,2.06
3,6,0.4242,0.9213,6.73,2.06
4,6,0.4079,0.9238,6.68,2.06
5,6,0.4014,0.9336,6.69,2.07
6,6,0.3932,0.9404,6.69,2.07
7,6,0.3857,0.9479,6.71,2.06
8,6,0.3814,0.9548,6.74,2.06
9,6,0.3813,0.9519,6.71,2.07
10,6,0.3717,0.9623,6.7,2.06
1,7,0.4889,0.871,7.01,2.1
2,7,0.4427,0.9123,6.94,2.13
3,7,0.4231,0.9169,6.93,2.12
4,7,0.4114,0.9244,6.97,2.12
5,7,0.4014,0.94,6.95,2.11
6,7,0.397,0.9491,6.95,2.11
7,7,0.3884,0.9554,6.95,2.11
8,7,0.3858,0.9558,6.94,2.11
9,7,0.3819,0.9614,6.97,2.11
1,8,0.4728,0.894,2.14,0.65
2,8,0.4403,0.9156,2.08,0.64
3,8,0.4201,0.9249,2.09,0.65
4,8,0.4086,0.9398,2.11,0.65
5,8,0.4043,0.9503,2.1,0.64
6,8,0.3863,0.9481,2.08,0.65
7,8,0.3899,0.9498,2.09,0.65
8,8,0.3852,0.9553,2.09,0.65
9,8,0.3759,0.9558,2.08,0.66
10,8,0.3697,0.9674,2.08,0.65
1,9,0.5869,0.7644,2.36,0.73
2,9,0.5451,0.8044,2.32,0.71
3,9,0.5182,0.8283,2.31,0.73
4,9,0.4881,0.8172,2.28,0.73
5,9,0.5001,0.8411,2.31,0.71
6,9,0.4714,0.8572,2.3,0.71
7,9,0.4471,0.8789,2.31,0.72
8,9,0.4317,0.8822,2.28,0.72
9,9,0.4667,0.8939,2.31,0.72
10,9,0.4518,0.875,2.28,0.72
11,9,0.4417,0.8633,2.32,0.71
12,9,0.4327,0.8844,2.3,0.72
13,9,0.4219,0.9056,2.28,0.72
14,9,0.4219,0.91,2.29,0.72
15,9,0.4136,0.8911,2.31,0.71
1,10,0.5483,0.8475,0.82,0.27
2,10,0.4768,0.8932,0.8,0.26
3,10,0.4397,0.922,0.8,0.27
4,10,0.4173,0.9271,0.82,0.26
5,10,0.4098,0.9237,0.81,0.27
6,10,0.4096,0.9458,0.83,0.26
7,10,0.3935,0.9508,0.8,0.27
8,10,0.3836,0.9559,0.82,0.26
9,10,0.3923,0.9593,0.8,0.27
10,10,0.3859,0.9593,0.81,0.26
11,10,0.3768,0.9695,0.8,0.27
1,11,0.4687,0.8712,0.16,0.11
2,11,0.5117,0.9242,0.15,0.11
3,11,0.4175,0.9242,0.16,0.11
4,11,0.4503,0.947,0.15,0.11
5,11,0.404,0.9621,0.15,0.11
1,12,0.557,0.791,0.17,0.12
2,12,0.5265,0.8433,0.17,0.12
3,12,0.5082,0.8731,0.17,0.12
4,12,0.4898,0.8806,0.16,0.12
5,12,0.4616,0.8806,0.16,0.12
6,12,0.4406,0.8955,0.17,0.12
7,12,0.4282,0.9254,0.17,0.12
8,12,0.4174,0.9254,0.16,0.12
9,12,0.4108,0.9179,0.17,0.12
10,12,0.4055,0.9403,0.16,0.12
11,12,0.3855,0.9627,0.16,0.12
1,13,0.6009,0.8889,0.11,0.02
2,13,0.5668,1.0,0.1,0.03
1,14,0.6822,0.6818,0.11,0.02
2,14,0.6703,0.8182,0.07,0.03
3,14,0.6299,0.8182,0.1,0.02
4,14,0.582,0.9545,0.08,0.04
5,14,0.5447,0.9545,0.1,0.02
6,14,0.4979,0.9091,0.08,0.02
7,14,0.4554,1.0,0.08,0.03
1,15,0.5119,0.9048,0.07,0.03
2,15,0.4091,0.9524,0.1,0.02
3,15,0.3677,1.0,0.09,0.02
1,16,0.4341,0.9583,0.09,0.02
2,16,0.3653,0.9583,0.09,0.02
3,16,0.3732,1.0,0.1,0.02
1,17,0.7029,0.7381,0.1,0.06
2,17,0.5995,0.6905,0.12,0.03
3,17,0.7153,0.7381,0.09,0.06
4,17,0.5975,0.6905,0.12,0.03
5,17,0.6059,0.7143,0.09,0.06
6,17,0.6025,0.6905,0.12,0.03
7,17,0.5952,0.7381,0.09,0.05
8,17,0.5776,0.7143,0.1,0.05
9,17,0.5296,0.8571,0.1,0.05
10,17,0.4369,0.9762,0.09,0.06
1,2,0.3936,0.923,0.89,0.14
2,2,0.3903,0.9326,0.67,0.15
3,2,0.3848,0.932,0.7,0.17
4,2,0.384,0.9313,0.69,0.15
5,2,0.3829,0.9361,0.64,0.17
6,2,0.386,0.9381,0.72,0.19
7,2,0.3806,0.9388,0.69,0.16
8,2,0.3796,0.9409,0.67,0.16
9,2,0.3774,0.9436,0.64,0.17
10,2,0.3791,0.9409,0.68,0.16
11,2,0.3765,0.9402,0.65,0.15
12,2,0.3779,0.945,0.72,0.17
13,2,0.3776,0.9464,0.67,0.16
14,2,0.3769,0.9402,0.62,0.16
15,2,0.3808,0.9464,0.69,0.17
1,3,0.4352,0.9144,0.48,0.15
2,3,0.4072,0.9355,0.49,0.15
3,3,0.3952,0.944,0.5,0.14
4,3,0.3824,0.9482,0.53,0.16
5,3,0.3869,0.9524,0.51,0.13
6,3,0.3813,0.9651,0.49,0.16
1,4,0.4209,0.9215,1.53,0.46
2,4,0.4024,0.9372,1.55,0.45
3,4,0.4025,0.9347,1.45,0.45
4,4,0.3982,0.9546,1.46,0.45
5,4,0.3833,0.9635,1.45,0.46
1,5,0.4151,0.9261,5.52,1.72
2,5,0.4004,0.933,5.46,1.71
3,5,0.3915,0.9517,5.55,1.72
4,5,0.3859,0.9541,5.48,1.72
5,5,0.3828,0.9575,5.47,1.72
6,5,0.3798,0.963,5.48,1.72
1,6,0.4168,0.9196,9.27,2.87
2,6,0.4049,0.9275,9.19,2.88
3,6,0.3937,0.9387,9.17,2.87
4,6,0.3904,0.9495,9.2,2.88
5,6,0.3845,0.9498,9.22,2.86
6,6,0.3827,0.9539,9.2,2.86
7,6,0.3792,0.9571,9.31,2.88
8,6,0.3736,0.9592,9.31,2.88
9,6,0.3728,0.9586,9.25,2.88
10,6,0.3738,0.9582,9.28,2.88
11,6,0.3723,0.9574,9.26,2.87
12,6,0.3694,0.9642,9.22,2.89
1,7,0.4257,0.9186,11.19,3.38
2,7,0.4043,0.9243,10.93,3.38
3,7,0.3977,0.946,10.95,3.36
4,7,0.3899,0.941,10.91,3.4
5,7,0.3905,0.9472,10.91,3.38
6,7,0.3836,0.9577,10.93,3.4
7,7,0.3791,0.9596,10.93,3.37
8,7,0.3791,0.9645,10.93,3.4
1,8,0.443,0.9151,3.89,1.27
2,8,0.4075,0.9356,3.84,1.27
3,8,0.3931,0.9379,3.85,1.27
4,8,0.3865,0.9536,3.84,1.27
5,8,0.3755,0.9595,3.84,1.27
6,8,0.3746,0.9663,3.84,1.28
1,9,0.517,0.8159,5.82,1.82
2,9,0.4784,0.8594,5.75,1.8
3,9,0.4555,0.882,5.71,1.82
4,9,0.4402,0.8808,5.76,1.81
5,9,0.4316,0.9019,5.74,1.81
6,9,0.4226,0.9185,5.77,1.8
7,9,0.4124,0.9204,5.74,1.82
8,9,0.4119,0.9206,5.74,1.82
9,9,0.4114,0.92,5.73,1.81
10,9,0.4024,0.9332,5.72,1.82
